query,join_size,true_subs,est_subs,true_subs_vec,est_subs_vec,label,qry_lvl_l1
t_0,2,mi_idx t$mc mi_idx$mc t,mi_idx t$mc mi_idx$mc t,"[[0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0]]","[[0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0]]",Optimal,0.0
t_0_0,2,mi_idx t$mc mi_idx$mc t,mi_idx t$mc mi_idx$mc t,"[[0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0]]","[[0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0]]",Optimal,0.0
t_0_1,2,mi_idx t$mc mi_idx$mc t,mi_idx t$mc mi_idx$mc t,"[[0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0]]","[[0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0]]",Optimal,0.0
t_0_2,2,mc mi_idx$mi_idx t$mc t,mi_idx t$mc mi_idx$mc t,"[[0, 0, 0, 1, 1, 0], [0, 0, 1, 1, 0, 0], [0, 0, 1, 0, 1, 0]]","[[0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0]]",Optimal,0.0
t_0_3,2,mc mi_idx$mi_idx t$mc t,mi_idx t$mc mi_idx$mc t,"[[0, 0, 0, 1, 1, 0], [0, 0, 1, 1, 0, 0], [0, 0, 1, 0, 1, 0]]","[[0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0]]",Optimal,0.0
t_0_4,2,mc mi_idx$mi_idx t$mc t,mi_idx t$mc mi_idx$mc t,"[[0, 0, 0, 1, 1, 0], [0, 0, 1, 1, 0, 0], [0, 0, 1, 0, 1, 0]]","[[0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0]]",Optimal,0.0
t_0_5,2,mc mi_idx$mi_idx t$mc t,mi_idx t$mc mi_idx$mc t,"[[0, 0, 0, 1, 1, 0], [0, 0, 1, 1, 0, 0], [0, 0, 1, 0, 1, 0]]","[[0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0]]",Optimal,0.0
t_0_6,2,mc mi_idx$mi_idx t$mc t,mi_idx t$mc mi_idx$mc t,"[[0, 0, 0, 1, 1, 0], [0, 0, 1, 1, 0, 0], [0, 0, 1, 0, 1, 0]]","[[0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0]]",Optimal,0.0
t_0_7,2,mi_idx t$mc mi_idx$mc t,mi_idx t$mc mi_idx$mc t,"[[0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0]]","[[0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0]]",Optimal,0.0
t_0_8,2,mc mi_idx$mi_idx t$mc t,mi_idx t$mc mi_idx$mc t,"[[0, 0, 0, 1, 1, 0], [0, 0, 1, 1, 0, 0], [0, 0, 1, 0, 1, 0]]","[[0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 1, 0], [0, 0, 1, 0, 1, 0]]",Optimal,0.0
